UserID,TeacherID,Action,Time
974660615,1013673667,added,2023-07-22 23:47:58
6119267627,974660615,added,2023-07-23 00:14:38
6119267627,974660615,subtracted,2023-07-23 00:14:44
6119267627,974660615,added,2023-07-23 00:14:45
6119267627,974660615,subtracted,2023-07-23 00:14:46
6119267627,974660615,subtracted,2023-07-23 00:14:46
1013673667,1013673667,added,2023-07-26 17:34:23
1013673667,1013673667,subtracted,2023-07-26 17:34:25
1013673667,1013673667,added,2023-07-26 17:34:26
1013673667,1013673667,added,2023-07-26 17:34:27
974660615,974660615,subtracted,2023-07-26 23:34:13
974660615,974660615,subtracted,2023-07-26 23:34:14
974660615,974660615,subtracted,2023-07-26 23:34:15
974660615,974660615,subtracted,2023-07-26 23:34:17
1013673667,974660615,subtracted,2023-07-26 23:34:21
1013673667,974660615,subtracted,2023-07-26 23:34:23
5185225787,974660615,added,2023-07-26 23:34:44
5185225787,974660615,added,2023-07-26 23:34:45
1013673667,1013673667,added,2023-07-26 23:35:46
1013673667,1013673667,added,2023-07-26 23:35:47
1013673667,1013673667,added,2023-07-26 23:35:47
1013673667,1013673667,added,2023-07-26 23:35:48
1013673667,1013673667,added,2023-07-26 23:35:52
1013673667,1013673667,added,2023-07-26 23:35:54
1013673667,1013673667,added,2023-07-26 23:35:55
1013673667,1013673667,added,2023-07-26 23:35:55
1013673667,1013673667,added,2023-07-26 23:35:56
1013673667,1013673667,subtracted,2023-07-26 23:36:10
1013673667,1013673667,added,2023-07-26 23:36:10
1013673667,1013673667,added,2023-07-26 23:36:11
974660615,1013673667,added,2023-08-10 00:43:47
974660615,1013673667,added,2023-08-10 00:43:48
1013673667,1013673667,added,2023-08-11 21:35:04
1013673667,1013673667,subtracted,2023-08-11 21:35:05
1013673667,1013673667,added,2023-08-11 21:35:07
1013673667,1013673667,subtracted,2023-08-11 21:35:07
1013673667,1013673667,subtracted,2023-08-11 21:35:08
1013673667,1013673667,subtracted,2023-08-11 21:35:50
974660615,1013673667,added,2023-12-11 18:21:42
974660615,1013673667,subtracted,2023-12-11 18:21:44
